ASFIndex,DATE,TIME,E,N,KP,DEPTH,ALT,GYRO,PITCH,ROLL,CP,FG,DCC
00:00.9,3/5/2019,12:24:38,249131.58,947823.17,64.401,119.4,28.4,310.3,1.9,-2.9,-1055,-3,2.599
00:01.9,3/5/2019,12:24:39,249131.57,947823.16,64.401,119.3,24.9,310.4,2.6,-3.4,-1055,-3,2.584
00:02.9,3/5/2019,12:24:40,249131.8,947823.1,64.4,119.3,20.1,310.2,2.4,-3.8,-1055,-3,2.725
00:03.9,3/5/2019,12:24:41,249131.83,947823.14,64.4,119.3,20.6,310.3,2.5,-3.7,-1055,-3,2.776
00:04.9,3/5/2019,12:24:42,249132.65,947823.58,64.4,119.4,31.2,310.3,2.5,-3.6,-1055,0,3.692
00:05.9,3/5/2019,12:24:43,249132.27,947823.87,64.401,119.7,23.2,310.2,0.4,-3.7,-1055,0,3.569
00:06.9,3/5/2019,12:24:44,249132.21,947823.86,64.401,119.9,50,309.7,-1.5,-2.4,-1055,-3,3.516
00:07.9,3/5/2019,12:24:45,249131.61,947823.53,64.401,120.4,0.7,309.5,-4.7,-1,-1055,-3,2.841
00:08.9,3/5/2019,12:24:46,249131.64,947823.54,64.401,119.9,0.8,310.5,-7.3,-0.8,-1055,0,2.873
00:09.9,3/5/2019,12:24:47,249131.69,947823.44,64.401,120.2,0.9,311.6,-8.4,-1,-1055,0,2.852
00:10.9,3/5/2019,12:24:48,249131.72,947823.45,64.401,119.6,0.8,311.9,-7.4,-1.2,-1055,0,2.874
00:11.9,3/5/2019,12:24:49,249132.33,947824.03,64.401,119.6,0.8,311,-6.1,-1.8,-1055,0,3.716
00:12.9,3/5/2019,12:24:50,249132.29,947824.02,64.401,119.6,0.8,310.4,-5.8,-1,-1055,0,3.676
00:13.9,3/5/2019,12:24:51,249131.89,947824.37,64.401,119.7,0.8,309.9,-6.2,-0.3,-1055,0,3.577
00:14.9,3/5/2019,12:24:52,249131.15,947823.88,64.401,119.6,0.8,310.1,-6.6,-0.8,-1055,0,2.695
00:15.9,3/5/2019,12:24:53,249131.17,947823.87,64.401,119.8,0.8,310.6,-6.8,-1.4,-1055,0,2.705
00:16.9,3/5/2019,12:24:54,249131.41,947823.88,64.401,119.4,0.8,310.9,-6.4,-1.1,-1055,0,2.898
00:17.9,3/5/2019,12:24:55,249131.43,947823.86,64.401,119.8,0.7,310.6,-5.8,-0.9,-1055,0,2.902
00:18.9,3/5/2019,12:24:56,249131.62,947824.78,64.402,119.6,0.8,310.7,-5.8,-1.1,-1055,0,3.616
00:19.9,3/5/2019,12:24:57,249131.64,947824.78,64.402,119.6,0.7,310.6,-6,-1.2,-1055,0,3.637
00:20.9,3/5/2019,12:24:58,249131.59,947825.13,64.402,120,0.7,310.9,-6,-1.3,-1055,0,3.807
00:21.9,3/5/2019,12:24:59,249131.59,947825.11,64.402,119.8,0.7,311.4,-5.8,-1.1,-1055,0,3.794
00:22.9,3/5/2019,12:25:00,249131.2,947824.74,64.402,119.6,0.7,311.4,-5.6,-1.5,-1055,0,3.26
00:23.9,3/5/2019,12:25:01,249131.23,947824.73,64.402,119.9,0.7,312.3,-5.4,-1.9,-1055,0,3.279
00:24.9,3/5/2019,12:25:02,249130.87,947824.61,64.402,119.8,0.7,313.8,-4.8,-2.5,-1055,-3,2.921
00:25.9,3/5/2019,12:25:03,249131.37,947824.76,64.402,119.5,22.9,314.1,-4,-2.6,-1055,0,3.408
00:26.9,3/5/2019,12:25:04,249131.39,947824.76,64.402,119.4,23.2,313,-1.8,-2.4,-1055,-3,3.421
00:27.9,3/5/2019,12:25:05,249131.44,947825.07,64.402,119.2,24.1,311.1,1.5,-2.8,-1055,-3,3.652
00:28.9,3/5/2019,12:25:06,249131.44,947825.02,64.402,119.3,18.6,310.5,1.3,-4.5,-1055,-6,3.625
00:29.9,3/5/2019,12:25:07,249131.09,947824.48,64.402,119.6,21.1,310.2,1.7,-5.1,-1055,-3,3.018
00:30.9,3/5/2019,12:25:08,249131.12,947824.46,64.402,119.6,21.9,309.5,2.4,-4.4,-1055,-3,3.03
00:31.9,3/5/2019,12:25:09,249131.25,947824.08,64.402,119.4,22.6,309.4,2.3,-3,-1055,-3,2.896
00:32.9,3/5/2019,12:25:10,249131.28,947824.1,64.402,119.3,22,309.4,2.1,-2.4,-1055,-3,2.928
00:33.9,3/5/2019,12:25:11,249131.45,947824.87,64.402,119.6,30.3,309.4,2.1,-2.4,-1055,-3,3.535
00:34.9,3/5/2019,12:25:12,249131.47,947824.83,64.402,119.6,21.3,309.4,2.2,-3,-1055,-3,3.536
00:35.9,3/5/2019,12:25:13,249131.36,947825.02,64.402,119.2,21.3,309.4,2,-3.1,-1055,-3,3.561
00:36.9,3/5/2019,12:25:14,249131.38,947824.28,64.402,119.5,22.8,309.3,2.2,-3.1,-1055,-3,3.125
00:37.9,3/5/2019,12:25:15,249131.39,947824.25,64.402,119.6,19.5,309.2,2.5,-3.7,-1055,-3,3.111
00:38.9,3/5/2019,12:25:16,249131.02,947824.33,64.402,119.8,23.2,309.3,2.3,-3.6,-1055,-3,2.865
00:39.9,3/5/2019,12:25:17,249131.04,947824.34,64.402,119.6,32.6,309.3,2.4,-3.5,-1055,-3,2.89
00:40.9,3/5/2019,12:25:18,249131.29,947824.81,64.402,119.2,22,309.3,2.2,-3.2,-1055,-3,3.371
00:41.9,3/5/2019,12:25:19,249131.33,947824.85,64.402,119.8,21.7,309.3,1.3,-2.9,-1055,0,3.431
00:42.9,3/5/2019,12:25:20,249131.8,947825.06,64.402,120.1,20.7,309.1,1.6,-2.3,-1055,-3,3.929
00:43.9,3/5/2019,12:25:21,249131.79,947825.01,64.402,120.1,0.7,309.8,-0.9,-1.6,-1055,0,3.892
00:44.9,3/5/2019,12:25:22,249130.97,947824.95,64.402,120.3,0.8,310.5,-4,-0.8,-1055,-3,3.207
00:45.9,3/5/2019,12:25:23,249130.99,947824.95,64.402,119.9,0.7,311.5,-7,-0.2,-1055,-3,3.225
00:46.9,3/5/2019,12:25:24,249130.67,947824.79,64.403,120.6,0.8,312.3,-8.2,-0.6,-1055,0,2.871
00:47.9,3/5/2019,12:25:25,249131,947824.99,64.402,120.2,0.8,312.8,-7.5,-1.4,-1055,0,3.257
00:48.9,3/5/2019,12:25:26,249131.03,947825.03,64.402,119.5,0.8,312.9,-6,-1.1,-1055,0,3.302
00:49.9,3/5/2019,12:25:27,249130.91,947825.65,64.403,120,0.8,312.4,-5.5,-1.4,-1055,0,3.593
00:50.9,3/5/2019,12:25:28,249130.88,947825.67,64.403,119.6,0.8,311.7,-5.7,-1.1,-1056,0,3.58
00:51.9,3/5/2019,12:25:29,249130.6,947825.66,64.403,119.8,0.8,311.2,-6.2,-1.2,-1056,0,3.351
00:52.9,3/5/2019,12:25:30,249130.6,947825.64,64.403,119.5,0.8,311.9,-6.3,-1.4,-1056,-3,3.342
00:53.9,3/5/2019,12:25:31,249130.22,947825.25,64.403,119.7,0.8,312.7,-6.1,-1.3,-1056,-3,2.802
00:54.9,3/5/2019,12:25:32,249130.2,947825.26,64.403,118.6,0.8,312.8,-5.8,-1.8,-1055,0,2.789
00:55.9,3/5/2019,12:25:33,249130.3,947825.62,64.403,120.4,0.7,312.6,-5.6,-2,-1055,-3,3.094
00:56.9,3/5/2019,12:25:34,249130.8,947826.12,64.403,121.1,0.7,312.7,-4.7,-1.5,-1055,-3,3.795
00:57.9,3/5/2019,12:25:35,249130.79,947826.13,64.403,119.4,36.1,312.4,-3.5,-1.9,-1055,-3,3.794
00:58.9,3/5/2019,12:25:36,249130.73,947826.14,64.404,119.3,22.1,311.4,-1.1,-2.9,-1055,-6,3.755
00:59.9,3/5/2019,12:25:37,249130.67,947826.1,64.404,119.5,35.4,310.2,2.2,-3.2,-1055,-6,3.68
