ASFIndex,DATE,TIME,E,N,KP,DEPTH,ALT,GYRO,PITCH,ROLL,CP,FG,DCC
00:00:00.878,03/05/2019,12:24:39,249131.57,947823.16,64.401,119.3,24.9,310.4,2.6,-3.4,-1055,-3,2.584
00:00:01.878,03/05/2019,12:24:40,249131.80,947823.10,64.400,119.3,20.1,310.2,2.4,-3.8,-1055,-3,2.725
00:00:02.878,03/05/2019,12:24:41,249131.83,947823.14,64.400,119.3,20.6,310.3,2.5,-3.7,-1055,-3,2.776
00:00:03.878,03/05/2019,12:24:42,249132.65,947823.58,64.400,119.4,31.2,310.3,2.5,-3.6,-1055,0,3.692
00:00:04.878,03/05/2019,12:24:43,249132.27,947823.87,64.401,119.7,23.2,310.2,0.4,-3.7,-1055,0,3.569
00:00:05.878,03/05/2019,12:24:44,249132.21,947823.86,64.401,119.9,50.0,309.7,-1.5,-2.4,-1055,-3,3.516
00:00:06.878,03/05/2019,12:24:45,249131.61,947823.53,64.401,120.4,0.7,309.5,-4.7,-1.0,-1055,-3,2.841
00:00:07.878,03/05/2019,12:24:46,249131.64,947823.54,64.401,119.9,0.8,310.5,-7.3,-0.8,-1055,0,2.873
00:00:08.878,03/05/2019,12:24:47,249131.69,947823.44,64.401,120.2,0.9,311.6,-8.4,-1.0,-1055,0,2.852
00:00:09.878,03/05/2019,12:24:48,249131.72,947823.45,64.401,119.6,0.8,311.9,-7.4,-1.2,-1055,0,2.874
00:00:10.878,03/05/2019,12:24:49,249132.33,947824.03,64.401,119.6,0.8,311.0,-6.1,-1.8,-1055,0,3.716
00:00:11.878,03/05/2019,12:24:50,249132.29,947824.02,64.401,119.6,0.8,310.4,-5.8,-1.0,-1055,0,3.676
00:00:12.878,03/05/2019,12:24:51,249131.89,947824.37,64.401,119.7,0.8,309.9,-6.2,-0.3,-1055,0,3.577
00:00:13.878,03/05/2019,12:24:52,249131.15,947823.88,64.401,119.6,0.8,310.1,-6.6,-0.8,-1055,0,2.695
00:00:14.878,03/05/2019,12:24:53,249131.17,947823.87,64.401,119.8,0.8,310.6,-6.8,-1.4,-1055,0,2.705
00:00:15.878,03/05/2019,12:24:54,249131.41,947823.88,64.401,119.4,0.8,310.9,-6.4,-1.1,-1055,0,2.898
00:00:16.878,03/05/2019,12:24:55,249131.43,947823.86,64.401,119.8,0.7,310.6,-5.8,-0.9,-1055,0,2.902
00:00:17.878,03/05/2019,12:24:56,249131.62,947824.78,64.402,119.6,0.8,310.7,-5.8,-1.1,-1055,0,3.616
00:00:18.878,03/05/2019,12:24:57,249131.64,947824.78,64.402,119.6,0.7,310.6,-6.0,-1.2,-1055,0,3.637
00:00:19.878,03/05/2019,12:24:58,249131.59,947825.13,64.402,120.0,0.7,310.9,-6.0,-1.3,-1055,0,3.807
00:00:20.878,03/05/2019,12:24:59,249131.59,947825.11,64.402,119.8,0.7,311.4,-5.8,-1.1,-1055,0,3.794
00:00:21.878,03/05/2019,12:25:00,249131.20,947824.74,64.402,119.6,0.7,311.4,-5.6,-1.5,-1055,0,3.260
00:00:22.878,03/05/2019,12:25:01,249131.23,947824.73,64.402,119.9,0.7,312.3,-5.4,-1.9,-1055,0,3.279
00:00:23.878,03/05/2019,12:25:02,249130.87,947824.61,64.402,119.8,0.7,313.8,-4.8,-2.5,-1055,-3,2.921
00:00:24.878,03/05/2019,12:25:03,249131.37,947824.76,64.402,119.5,22.9,314.1,-4.0,-2.6,-1055,0,3.408
00:00:25.878,03/05/2019,12:25:04,249131.39,947824.76,64.402,119.4,23.2,313.0,-1.8,-2.4,-1055,-3,3.421
00:00:26.878,03/05/2019,12:25:05,249131.44,947825.07,64.402,119.2,24.1,311.1,1.5,-2.8,-1055,-3,3.652
00:00:27.878,03/05/2019,12:25:06,249131.44,947825.02,64.402,119.3,18.6,310.5,1.3,-4.5,-1055,-6,3.625
00:00:28.878,03/05/2019,12:25:07,249131.09,947824.48,64.402,119.6,21.1,310.2,1.7,-5.1,-1055,-3,3.018
00:00:29.878,03/05/2019,12:25:08,249131.12,947824.46,64.402,119.6,21.9,309.5,2.4,-4.4,-1055,-3,3.030
00:00:30.878,03/05/2019,12:25:09,249131.25,947824.08,64.402,119.4,22.6,309.4,2.3,-3.0,-1055,-3,2.896
00:00:31.878,03/05/2019,12:25:10,249131.28,947824.10,64.402,119.3,22.0,309.4,2.1,-2.4,-1055,-3,2.928
00:00:32.878,03/05/2019,12:25:11,249131.45,947824.87,64.402,119.6,30.3,309.4,2.1,-2.4,-1055,-3,3.535
00:00:33.878,03/05/2019,12:25:12,249131.47,947824.83,64.402,119.6,21.3,309.4,2.2,-3.0,-1055,-3,3.536
00:00:34.878,03/05/2019,12:25:13,249131.36,947825.02,64.402,119.2,21.3,309.4,2.0,-3.1,-1055,-3,3.561
00:00:35.878,03/05/2019,12:25:14,249131.38,947824.28,64.402,119.5,22.8,309.3,2.2,-3.1,-1055,-3,3.125
00:00:36.878,03/05/2019,12:25:15,249131.39,947824.25,64.402,119.6,19.5,309.2,2.5,-3.7,-1055,-3,3.111
00:00:37.878,03/05/2019,12:25:16,249131.02,947824.33,64.402,119.8,23.2,309.3,2.3,-3.6,-1055,-3,2.865
00:00:38.878,03/05/2019,12:25:17,249131.04,947824.34,64.402,119.6,32.6,309.3,2.4,-3.5,-1055,-3,2.890
00:00:39.878,03/05/2019,12:25:18,249131.29,947824.81,64.402,119.2,22.0,309.3,2.2,-3.2,-1055,-3,3.371
00:00:40.878,03/05/2019,12:25:19,249131.33,947824.85,64.402,119.8,21.7,309.3,1.3,-2.9,-1055,0,3.431
00:00:41.878,03/05/2019,12:25:20,249131.80,947825.06,64.402,120.1,20.7,309.1,1.6,-2.3,-1055,-3,3.929
00:00:42.878,03/05/2019,12:25:21,249131.79,947825.01,64.402,120.1,0.7,309.8,-0.9,-1.6,-1055,0,3.892
00:00:43.878,03/05/2019,12:25:22,249130.97,947824.95,64.402,120.3,0.8,310.5,-4.0,-0.8,-1055,-3,3.207
00:00:44.878,03/05/2019,12:25:23,249130.99,947824.95,64.402,119.9,0.7,311.5,-7.0,-0.2,-1055,-3,3.225
00:00:45.878,03/05/2019,12:25:24,249130.67,947824.79,64.403,120.6,0.8,312.3,-8.2,-0.6,-1055,0,2.871
00:00:46.878,03/05/2019,12:25:25,249131.00,947824.99,64.402,120.2,0.8,312.8,-7.5,-1.4,-1055,0,3.257
00:00:47.878,03/05/2019,12:25:26,249131.03,947825.03,64.402,119.5,0.8,312.9,-6.0,-1.1,-1055,0,3.302
00:00:48.878,03/05/2019,12:25:27,249130.91,947825.65,64.403,120.0,0.8,312.4,-5.5,-1.4,-1055,0,3.593
00:00:49.878,03/05/2019,12:25:28,249130.88,947825.67,64.403,119.6,0.8,311.7,-5.7,-1.1,-1056,0,3.580
00:00:50.878,03/05/2019,12:25:29,249130.60,947825.66,64.403,119.8,0.8,311.2,-6.2,-1.2,-1056,0,3.351
00:00:51.878,03/05/2019,12:25:30,249130.60,947825.64,64.403,119.5,0.8,311.9,-6.3,-1.4,-1056,-3,3.342
00:00:52.878,03/05/2019,12:25:31,249130.22,947825.25,64.403,119.7,0.8,312.7,-6.1,-1.3,-1056,-3,2.802
00:00:53.878,03/05/2019,12:25:32,249130.20,947825.26,64.403,118.6,0.8,312.8,-5.8,-1.8,-1055,0,2.789
00:00:54.878,03/05/2019,12:25:33,249130.30,947825.62,64.403,120.4,0.7,312.6,-5.6,-2.0,-1055,-3,3.094
00:00:55.878,03/05/2019,12:25:34,249130.80,947826.12,64.403,121.1,0.7,312.7,-4.7,-1.5,-1055,-3,3.795
00:00:56.878,03/05/2019,12:25:35,249130.79,947826.13,64.403,119.4,36.1,312.4,-3.5,-1.9,-1055,-3,3.794
00:00:57.878,03/05/2019,12:25:36,249130.73,947826.14,64.404,119.3,22.1,311.4,-1.1,-2.9,-1055,-6,3.755
00:00:58.878,03/05/2019,12:25:37,249130.67,947826.10,64.404,119.5,35.4,310.2,2.2,-3.2,-1055,-6,3.680
00:00:59.878,03/05/2019,12:25:38,249130.53,947825.42,64.403,119.3,50.0,310.1,3.0,-4.7,-1055,-6,3.156
00:01:00.878,03/05/2019,12:25:39,249130.51,947825.45,64.403,119.3,27.4,309.9,2.8,-4.9,-1055,-6,3.154
00:01:01.878,03/05/2019,12:25:40,249130.23,947825.11,64.403,119.7,50.0,309.8,2.6,-2.9,-1055,-6,2.722
00:01:02.878,03/05/2019,12:25:41,249130.21,947825.18,64.403,119.5,50.0,309.7,2.6,-2.0,-1055,-3,2.752
00:01:03.878,03/05/2019,12:25:42,249130.71,947825.91,64.403,119.3,33.2,309.8,2.4,-2.8,-1055,-3,3.593
00:01:04.878,03/05/2019,12:25:43,249130.68,947825.90,64.403,119.8,27.2,309.8,2.7,-4.0,-1055,-3,3.563
00:01:05.878,03/05/2019,12:25:44,249130.90,947825.93,64.403,119.2,46.2,309.8,2.6,-4.0,-1056,0,3.758
00:01:06.878,03/05/2019,12:25:45,249130.52,947825.33,64.403,118.8,50.0,309.8,2.2,-3.6,-1056,0,3.083
00:01:07.878,03/05/2019,12:25:46,249130.49,947825.34,64.403,122.0,50.0,309.7,1.4,-3.4,-1056,-3,3.072
00:01:08.878,03/05/2019,12:25:47,249130.45,947825.31,64.403,120.1,0.8,309.6,-1.7,-2.4,-1056,-3,3.021
00:01:09.878,03/05/2019,12:25:48,249130.42,947825.34,64.403,120.2,0.7,310.2,-4.9,-1.1,-1056,0,3.015
00:01:10.878,03/05/2019,12:25:49,249130.29,947826.05,64.404,119.6,0.8,312.1,-7.3,-0.7,-1056,0,3.349
00:01:11.878,03/05/2019,12:25:50,249130.32,947826.06,64.404,120.4,0.9,313.1,-7.2,-2.3,-1056,0,3.381
00:01:12.878,03/05/2019,12:25:51,249130.68,947826.13,64.404,120.0,0.8,313.3,-5.8,-3.1,-1056,0,3.708
00:01:13.878,03/05/2019,12:25:52,249130.65,947826.10,64.404,119.6,0.8,312.4,-4.7,-1.7,-1056,0,3.664
00:01:14.878,03/05/2019,12:25:53,249130.42,947825.83,64.403,120.1,0.8,311.2,-4.9,-0.7,-1056,0,3.321
00:01:15.878,03/05/2019,12:25:54,249130.40,947825.84,64.404,119.2,0.8,311.1,-5.7,-1.8,-1056,0,3.304
00:01:16.878,03/05/2019,12:25:55,249129.98,947825.64,64.404,119.8,0.7,311.7,-5.2,-3.1,-1056,0,2.857
00:01:17.878,03/05/2019,12:25:56,249130.49,947825.87,64.403,119.8,0.7,311.2,-3.5,-3.1,-1055,0,3.398
00:01:18.878,03/05/2019,12:25:57,249130.51,947825.90,64.403,119.3,0.8,309.8,0.6,-2.6,-1055,-3,3.431
00:01:19.878,03/05/2019,12:25:58,249130.93,947826.44,64.404,119.5,0.7,309.3,1.6,-4.0,-1055,-3,4.094
00:01:20.878,03/05/2019,12:25:59,249130.91,947826.40,64.404,119.7,0.7,308.8,1.7,-5.8,-1055,-6,4.059
00:01:21.878,03/05/2019,12:26:00,249130.84,947826.08,64.403,119.3,0.7,308.4,2.6,-5.2,-1055,-3,3.799
00:01:22.878,03/05/2019,12:26:01,249130.81,947826.05,64.403,119.8,23.4,308.1,2.2,-4.6,-1056,-3,3.757
00:01:23.878,03/05/2019,12:26:02,249130.14,947825.57,64.403,119.7,22.8,308.1,2.1,-4.8,-1056,-6,2.933
00:01:24.878,03/05/2019,12:26:03,249130.16,947825.53,64.403,119.1,0.7,308.2,2.1,-4.9,-1056,-3,2.928
00:01:25.878,03/05/2019,12:26:04,249130.24,947825.59,64.403,119.7,22.9,308.2,2.1,-4.9,-1056,-3,3.027
00:01:26.878,03/05/2019,12:26:05,249130.31,947825.63,64.403,119.6,0.7,308.2,2.1,-4.6,-1055,0,3.107
00:01:27.878,03/05/2019,12:26:06,249131.02,947826.07,64.403,119.4,0.7,308.3,2.1,-4.1,-1056,0,3.943
00:01:28.878,03/05/2019,12:26:07,249130.48,947826.30,64.404,120.3,18.4,308.7,1.7,-4.1,-1056,0,3.649
00:01:29.878,03/05/2019,12:26:08,249130.47,947826.29,64.404,121.0,0.8,309.4,0.3,-2.9,-1056,0,3.641
00:01:30.878,03/05/2019,12:26:09,249129.95,947826.00,64.404,120.3,0.7,310.6,-2.8,-1.3,-1056,0,3.049
00:01:31.878,03/05/2019,12:26:10,249130.03,947825.99,64.404,120.5,0.7,312.5,-5.8,-0.8,-1056,0,3.111
00:01:32.878,03/05/2019,12:26:11,249130.04,947825.84,64.404,120.3,0.7,313.7,-7.5,-1.7,-1056,0,3.024
00:01:33.878,03/05/2019,12:26:12,249130.07,947825.83,64.404,120.1,0.8,313.8,-7.3,-1.5,-1055,0,3.037
00:01:34.878,03/05/2019,12:26:13,249130.14,947826.58,64.404,120.6,0.8,313.1,-6.0,-1.2,-1055,0,3.560
00:01:35.878,03/05/2019,12:26:14,249130.17,947826.59,64.404,120.1,0.8,312.4,-5.6,-1.1,-1055,0,3.587
00:01:36.878,03/05/2019,12:26:15,249129.86,947826.70,64.405,120.8,0.8,311.7,-5.5,-1.2,-1055,0,3.410
00:01:37.878,03/05/2019,12:26:16,249129.61,947826.71,64.405,121.6,0.8,311.4,-5.5,-0.6,-1055,0,3.218
00:01:38.878,03/05/2019,12:26:17,249129.62,947826.67,64.405,119.8,0.7,311.2,-5.8,-0.7,-1055,0,3.202
00:01:39.878,03/05/2019,12:26:18,249129.60,947826.96,64.405,120.0,0.7,311.4,-5.9,-0.4,-1055,0,3.362
00:01:40.878,03/05/2019,12:26:19,249129.65,947826.97,64.405,119.7,0.7,311.7,-5.3,-0.8,-1056,0,3.406
00:01:41.878,03/05/2019,12:26:20,249129.35,947826.80,64.405,120.0,0.7,312.3,-4.9,-0.9,-1056,0,3.068
00:01:42.878,03/05/2019,12:26:21,249129.41,947826.84,64.405,119.8,28.2,314.4,-4.8,-1.5,-1055,-3,3.138
00:01:43.878,03/05/2019,12:26:22,249129.45,947826.86,64.405,119.8,25.9,315.1,-3.9,-2.0,-1055,-3,3.186
00:01:44.878,03/05/2019,12:26:23,249129.47,947826.85,64.405,119.9,0.7,314.3,-1.2,-0.9,-1055,0,3.199
00:01:45.878,03/05/2019,12:26:24,249129.70,947827.20,64.405,119.5,26.3,313.3,1.9,-0.8,-1055,0,3.588
00:01:46.878,03/05/2019,12:26:25,249129.68,947827.15,64.405,119.4,37.2,311.9,0.7,-2.0,-1055,-6,3.545
00:01:47.878,03/05/2019,12:26:26,249129.82,947826.73,64.405,119.7,40.2,310.4,2.2,-3.2,-1055,-3,3.397
00:01:48.878,03/05/2019,12:26:27,249129.32,947826.64,64.405,119.4,33.4,310.0,1.7,-3.1,-1055,-3,2.944
00:01:49.878,03/05/2019,12:26:28,249129.33,947826.64,64.405,119.3,34.5,310.0,1.7,-2.3,-1055,-3,2.953
00:01:50.878,03/05/2019,12:26:29,249129.21,947826.32,64.405,119.5,36.6,309.9,1.9,-1.6,-1055,-3,2.664
00:01:51.878,03/05/2019,12:26:30,249129.26,947826.33,64.405,119.3,38.4,309.9,1.8,-1.7,-1055,-3,2.708
00:01:52.878,03/05/2019,12:26:31,249129.75,947826.58,64.404,119.2,41.7,310.0,1.8,-2.0,-1055,-3,3.246
00:01:53.878,03/05/2019,12:26:32,249129.72,947826.58,64.405,119.5,37.4,309.9,1.5,-1.4,-1055,-3,3.228
00:01:54.878,03/05/2019,12:26:33,249129.66,947827.08,64.405,120.0,35.4,310.0,1.1,-1.6,-1056,-3,3.486
00:01:55.878,03/05/2019,12:26:34,249129.62,947827.03,64.405,120.1,31.6,310.1,-1.3,-2.1,-1056,-3,3.425
00:01:56.878,03/05/2019,12:26:35,249129.13,947826.79,64.405,120.9,0.7,310.9,-4.9,-1.2,-1056,-3,2.890
00:01:57.878,03/05/2019,12:26:36,249129.16,947826.80,64.405,119.8,0.7,312.3,-7.3,-0.2,-1055,-3,2.914
00:01:58.878,03/05/2019,12:26:37,249129.13,947826.61,64.405,119.5,0.7,313.4,-7.9,-1.3,-1055,-3,2.778
00:01:59.878,03/05/2019,12:26:38,249129.38,947827.28,64.405,119.8,0.8,314.0,-6.8,-1.7,-1055,-3,3.384
00:02:00.878,03/05/2019,12:26:39,249129.36,947827.32,64.405,119.8,0.8,313.7,-5.6,-1.5,-1055,0,3.396
